Date,Kurs
2020-01-01,13690.3720703125
2020-01-02,13689.2314453125
2020-01-03,13884.7861328125
2020-01-06,13934.31640625
2020-01-07,13926.5
2020-01-08,13867.236328125
2020-01-09,13886.939453125
2020-01-10,13827.560546875
2020-01-13,13522.4345703125
2020-01-14,13665.3046875
2020-01-15,13668.0400390625
2020-01-16,13665.0966796875
2020-01-17,13623.0
2020-01-20,13456.98828125
2020-01-21,13615.0
2020-01-22,13651.0
2020-01-23,13626.38671875
2020-01-24,13609.1884765625
2020-01-27,13711.9736328125
2020-01-28,13213.240234375
2020-01-29,13634.0
2020-01-30,13614.0146484375
2020-01-31,13643.1806640625
2020-02-03,13633.126953125
2020-02-04,13735.5
2020-02-05,13702.4072265625
2020-02-06,13668.267578125
2020-02-07,13698.0
2020-02-10,13675.853515625
2020-02-11,13691.58984375
2020-02-12,13657.5537109375
2020-02-13,13500.7373046875
2020-02-14,13695.400390625
2020-02-17,13681.2900390625
2020-02-18,13649.2412109375
2020-02-19,13768.0
2020-02-20,13762.0
2020-02-21,13703.482421875
2020-02-24,13771.486328125
2020-02-25,13879.9296875
2020-02-26,14056.5
2020-02-27,13931.0
2020-02-28,14316.0
2020-03-02,13971.9619140625
2020-03-03,14220.0
2020-03-04,14199.5
2020-03-05,14256.0
2020-03-06,14309.599609375
2020-03-09,14251.5390625
2020-03-10,14094.818359375
2020-03-11,14272.900390625
2020-03-12,14526.0
2020-03-13,14850.0
2020-03-16,14635.0224609375
2020-03-17,15192.0
2020-03-18,14955.7880859375
2020-03-19,15474.5
2020-03-20,15908.0
2020-03-23,15766.2470703125
2020-03-24,16504.80078125
2020-03-25,16216.5
2020-03-26,16447.720703125
2020-03-27,16218.63671875
2020-03-30,16005.3349609375
2020-03-31,16346.9619140625
2020-04-01,16277.943359375
2020-04-02,16412.80859375
2020-04-03,16441.263671875
2020-04-06,16418.0
2020-04-07,16364.6484375
2020-04-08,16225.0
2020-04-09,16159.376953125
2020-04-10,15811.9677734375
2020-04-13,15800.0
2020-04-14,15751.0
2020-04-15,15578.3466796875
2020-04-16,15887.5
2020-04-17,15568.3388671875
2020-04-20,15423.0
2020-04-21,15377.080078125
2020-04-22,15394.6787109375
2020-04-23,15408.6220703125
2020-04-24,15665.0
2020-04-27,15348.744140625
2020-04-28,15312.3857421875
2020-04-29,15364.5947265625
2020-04-30,15234.63671875
2020-05-01,15249.0
2020-05-04,14671.0
2020-05-05,15044.0
2020-05-06,15335.0
2020-05-07,14998.33203125
2020-05-08,15227.0
2020-05-11,14721.3984375
2020-05-12,14848.7001953125
2020-05-13,14994.0
2020-05-14,14846.873046875
2020-05-15,14810.1201171875
2020-05-18,14853.0
2020-05-19,14878.0
2020-05-20,14748.447265625
2020-05-21,14771.0
2020-05-22,14826.0
2020-05-25,14703.0
2020-05-26,14501.7578125
2020-05-27,14850.0
2020-05-28,14888.5
2020-05-29,14825.0
2020-06-01,14603.0
2020-06-02,14573.5
2020-06-03,14343.8232421875
2020-06-04,14130.0
2020-06-05,14085.447265625
2020-06-08,13863.0
2020-06-09,14070.7998046875
2020-06-10,13852.103515625
2020-06-11,13947.443359375
2020-06-12,14475.0
2020-06-15,14118.0
2020-06-16,13988.119140625
2020-06-17,14275.0
2020-06-18,14102.7353515625
2020-06-19,13997.6923828125
2020-06-22,14093.0
2020-06-23,14080.134765625
2020-06-24,14113.177734375
2020-06-25,14289.2998046875
2020-06-26,14376.2001953125
2020-06-29,14213.0
2020-06-30,14470.2001953125
2020-07-01,14194.05078125
2020-07-02,14187.8583984375
2020-07-03,14298.779296875
2020-07-06,14503.0
2020-07-07,14206.5087890625
2020-07-08,14483.5
2020-07-09,14349.5654296875
2020-07-10,14545.7001953125
2020-07-13,14428.0
2020-07-14,14584.0
2020-07-15,14715.400390625
2020-07-16,14561.171875
2020-07-17,14552.2099609375
2020-07-20,14688.0
2020-07-21,14949.2998046875
2020-07-22,14626.8623046875
2020-07-23,14630.0
2020-07-24,14578.904296875
2020-07-27,14603.0
2020-07-28,14614.5
2020-07-29,14633.5
2020-07-30,14458.3447265625
2020-07-31,14486.6689453125
